1.7, 10.28
1.8, 10.75
1.9, 10.62
2.0, 11.46
2.1, 11.77
2.2, 12.53
2.3, 12.86
2.4, 13.10
2.5, 13.67
2.59, 13.64
2.60, 14.85
2.72, 15.29
2.84, 15.60
2.96, 15.82
3.09, 15.97
3.21, 16.16
3.33, 16.43
3.57, 16.88
3.69, 17.06
3.82, 17.23
3.94, 17.34
3.95, 14.31
4.20, 14.92
4.40, 15.39
4.60, 15.75
4.80, 16.05
5.00, 16.35
5.20, 16.62
5.40, 16.89
5.60, 17.12
5.80, 17.34
6.00, 17.61
6.14, 15.28
6.40, 15.55
6.65, 15.83
6.90, 16.08
7.16, 16.32
7.41, 16.54
7.66, 16.75
7.92, 16.93
8.19, 17.13
8.20, 14.45
8.58, 14.78
8.96, 15.10
9.33, 15.39
9.71, 15.67
10.09, 15.94
10.47, 16.19
10.85, 16.42
11.22, 16.65
11.60, 16.87
11.98, 17.06
12.40, 17.27
17.60, 19.77
18.42, 20.10
19.24, 20.41
20.06, 20.70
20.88, 20.97
21.70, 21.23
22.51, 21.47
23.33, 21.69
24.15, 21.91
24.97, 22.11
25.79, 22.30
26.70, 22.49
26.50, 19.98
27.72, 20.31
28.93, 20.62
30.15, 20.92
31.36, 21.18
32.58, 21.45
33.79, 21.70
35.01, 21.93
36.22, 22.05
37.44, 22.36
38.65, 22.55
40.00, 22.76
